month,hour,season,day_type,weather,rides,registered,casual,records,average_temp,average_humidity
2011-01,0,Winter,Weekend / holiday,Clear,204,187,17,8,0.155,0.6
2011-01,0,Winter,Weekend / holiday,Mist / cloudy,59,53,6,3,0.28,0.62
2011-01,0,Winter,Working day,Clear,85,75,10,10,0.16,0.533
2011-01,0,Winter,Working day,Mist / cloudy,90,78,12,8,0.205,0.7388
2011-01,1,Winter,Weekend / holiday,Clear,137,117,20,6,0.1633,0.6317
2011-01,1,Winter,Weekend / holiday,Mist / cloudy,81,73,8,5,0.204,0.586
2011-01,1,Winter,Working day,Clear,38,33,5,11,0.1545,0.5627
2011-01,1,Winter,Working day,Light rain / snow,7,6,1,1,0.22,0.93
2011-01,1,Winter,Working day,Mist / cloudy,32,29,3,6,0.2,0.7233
2011-01,2,Winter,Weekend / holiday,Clear,103,91,12,6,0.1633,0.6467
2011-01,2,Winter,Weekend / holiday,Mist / cloudy,56,52,4,5,0.196,0.596
2011-01,2,Winter,Working day,Clear,17,17,0,10,0.16,0.63
2011-01,2,Winter,Working day,Light rain / snow,15,12,3,3,0.2267,0.79
2011-01,2,Winter,Working day,Mist / cloudy,6,6,0,3,0.1867,0.6633
2011-01,3,Winter,Weekend / holiday,Clear,53,36,17,6,0.1533,0.6817
2011-01,3,Winter,Weekend / holiday,Light rain / snow,7,7,0,1,0.18,0.55
2011-01,3,Winter,Weekend / holiday,Mist / cloudy,23,19,4,4,0.21,0.5925
2011-01,3,Winter,Working day,Clear,9,9,0,6,0.1467,0.5317
2011-01,3,Winter,Working day,Light rain / snow,1,1,0,1,0.22,0.8
2011-01,3,Winter,Working day,Mist / cloudy,1,0,1,1,0.2,0.75
2011-01,4,Winter,Weekend / holiday,Clear,7,6,1,5,0.176,0.692
2011-01,4,Winter,Weekend / holiday,Light rain / snow,1,1,0,1,0.18,0.55
2011-01,4,Winter,Weekend / holiday,Mist / cloudy,14,11,3,4,0.205,0.61
2011-01,4,Winter,Working day,Clear,17,16,1,9,0.1556,0.5544
2011-01,4,Winter,Working day,Light rain / snow,2,1,1,1,0.22,0.93
2011-01,4,Winter,Working day,Mist / cloudy,3,3,0,3,0.1933,0.7333
2011-01,5,Winter,Weekend / holiday,Clear,5,5,0,3,0.1267,0.66
2011-01,5,Winter,Weekend / holiday,Mist / cloudy,12,11,1,5,0.176,0.61
2011-01,5,Winter,Working day,Clear,62,61,1,12,0.15,0.5933
2011-01,5,Winter,Working day,Light rain / snow,6,6,0,2,0.21,0.705
2011-01,5,Winter,Working day,Mist / cloudy,21,21,0,4,0.175,0.7425
2011-01,6,Winter,Weekend / holiday,Clear,8,5,3,4,0.155,0.64
2011-01,6,Winter,Weekend / holiday,Light rain / snow,2,2,0,1,0.42,0.77
2011-01,6,Winter,Weekend / holiday,Mist / cloudy,11,11,0,5,0.132,0.548
2011-01,6,Winter,Working day,Clear,341,340,1,12,0.1417,0.6067
2011-01,6,Winter,Working day,Light rain / snow,8,8,0,1,0.2,0.86
2011-01,6,Winter,Working day,Mist / cloudy,145,137,8,5,0.18,0.72
2011-01,7,Winter,Weekend / holiday,Clear,37,32,5,7,0.1171,0.6414
2011-01,7,Winter,Weekend / holiday,Mist / cloudy,26,21,5,4,0.24,0.64
2011-01,7,Winter,Working day,Clear,964,937,27,12,0.1433,0.5925
2011-01,7,Winter,Working day,Light rain / snow,30,29,1,1,0.22,0.87
2011-01,7,Winter,Working day,Mist / cloudy,416,410,6,5,0.176,0.712
2011-01,8,Winter,Weekend / holiday,Clear,139,131,8,7,0.1371,0.5757
2011-01,8,Winter,Weekend / holiday,Light rain / snow,23,23,0,2,0.28,0.82
2011-01,8,Winter,Weekend / holiday,Mist / cloudy,45,41,4,2,0.15,0.665
2011-01,8,Winter,Working day,Clear,2088,2034,54,11,0.1564,0.5427
2011-01,8,Winter,Working day,Light rain / snow,72,69,3,1,0.22,0.87
2011-01,8,Winter,Working day,Mist / cloudy,1182,1164,18,6,0.17,0.6883
2011-01,9,Winter,Weekend / holiday,Clear,200,181,19,7,0.1629,0.5586
2011-01,9,Winter,Weekend / holiday,Light rain / snow,20,20,0,1,0.16,0.93
2011-01,9,Winter,Weekend / holiday,Mist / cloudy,105,92,13,3,0.2333,0.6767
2011-01,9,Winter,Working day,Clear,1042,1002,40,9,0.16,0.5122
2011-01,9,Winter,Working day,Light rain / snow,159,150,9,2,0.2,0.865
2011-01,9,Winter,Working day,Mist / cloudy,854,828,26,7,0.1914,0.6
2011-01,10,Winter,Weekend / holiday,Clear,281,252,29,5,0.212,0.55
2011-01,10,Winter,Weekend / holiday,Mist / cloudy,343,310,33,6,0.1833,0.66
2011-01,10,Winter,Working day,Clear,452,401,51,9,0.1933,0.4567
2011-01,10,Winter,Working day,Light rain / snow,77,75,2,2,0.2,0.895
2011-01,10,Winter,Working day,Mist / cloudy,336,318,18,7,0.1857,0.6171
2011-01,11,Winter,Weekend / holiday,Clear,428,328,100,6,0.22,0.5633
2011-01,11,Winter,Weekend / holiday,Mist / cloudy,323,288,35,5,0.192,0.594
2011-01,11,Winter,Working day,Clear,406,357,49,8,0.2,0.4463
2011-01,11,Winter,Working day,Light rain / snow,71,65,6,2,0.2,0.93
2011-01,11,Winter,Working day,Mist / cloudy,398,351,47,8,0.215,0.5363
2011-01,12,Winter,Weekend / holiday,Clear,573,462,111,6,0.2567,0.4867
2011-01,12,Winter,Weekend / holiday,Mist / cloudy,419,359,60,5,0.2,0.538
2011-01,12,Winter,Working day,Clear,548,493,55,8,0.2225,0.395
2011-01,12,Winter,Working day,Light rain / snow,77,69,8,2,0.2,0.93
2011-01,12,Winter,Working day,Mist / cloudy,562,496,66,9,0.2178,0.5444
2011-01,13,Winter,Weekend / holiday,Clear,651,557,94,7,0.2057,0.4
2011-01,13,Winter,Weekend / holiday,Mist / cloudy,327,247,80,4,0.305,0.6
2011-01,13,Winter,Working day,Clear,656,587,69,9,0.2533,0.4011
2011-01,13,Winter,Working day,Light rain / snow,78,74,4,2,0.2,0.93
2011-01,13,Winter,Working day,Mist / cloudy,506,446,60,8,0.205,0.5312
2011-01,14,Winter,Weekend / holiday,Clear,683,569,114,7,0.22,0.3729
2011-01,14,Winter,Weekend / holiday,Light rain / snow,59,55,4,1,0.36,0.76
2011-01,14,Winter,Weekend / holiday,Mist / cloudy,291,234,57,3,0.2867,0.5833
2011-01,14,Winter,Working day,Clear,559,497,62,9,0.26,0.3978
2011-01,14,Winter,Working day,Light rain / snow,74,72,2,2,0.22,0.865
2011-01,14,Winter,Working day,Mist / cloudy,468,436,32,8,0.2175,0.5125
2011-01,15,Winter,Weekend / holiday,Clear,678,574,104,7,0.2114,0.4086
2011-01,15,Winter,Weekend / holiday,Light rain / snow,74,55,19,1,0.34,0.81
2011-01,15,Winter,Weekend / holiday,Mist / cloudy,332,250,82,3,0.32,0.5333
2011-01,15,Winter,Working day,Clear,642,566,76,10,0.252,0.389
2011-01,15,Winter,Working day,Light rain / snow,43,42,1,1,0.22,0.93
2011-01,15,Winter,Working day,Mist / cloudy,438,389,49,8,0.2225,0.595
2011-01,16,Winter,Weekend / holiday,Clear,645,544,101,7,0.2057,0.3871
2011-01,16,Winter,Weekend / holiday,Light rain / snow,76,67,9,1,0.34,0.71
2011-01,16,Winter,Weekend / holiday,Mist / cloudy,303,223,80,3,0.32,0.5433
2011-01,16,Winter,Working day,Clear,1019,940,79,13,0.2415,0.4415
2011-01,16,Winter,Working day,Heavy rain / snow,36,35,1,1,0.22,0.93
2011-01,16,Winter,Working day,Mist / cloudy,517,483,34,6,0.2267,0.595
2011-01,17,Winter,Weekend / holiday,Clear,662,592,70,9,0.2111,0.4322
2011-01,17,Winter,Weekend / holiday,Mist / cloudy,150,106,44,2,0.38,0.59
2011-01,17,Winter,Working day,Clear,2366,2279,87,14,0.2286,0.4607
2011-01,17,Winter,Working day,Light rain / snow,26,26,0,1,0.2,0.93
2011-01,17,Winter,Working day,Mist / cloudy,824,794,30,5,0.208,0.626
2011-01,18,Winter,Weekend / holiday,Clear,406,366,40,7,0.1686,0.4543
2011-01,18,Winter,Weekend / holiday,Light rain / snow,35,26,9,1,0.42,0.88
2011-01,18,Winter,Weekend / holiday,Mist / cloudy,229,197,32,3,0.28,0.4867
2011-01,18,Winter,Working day,Clear,2016,1959,57,14,0.2143,0.4836
2011-01,18,Winter,Working day,Light rain / snow,95,94,1,1,0.16,0.93
2011-01,18,Winter,Working day,Mist / cloudy,699,687,12,4,0.235,0.6
2011-01,19,Winter,Weekend / holiday,Clear,326,286,40,7,0.18,0.4257
2011-01,19,Winter,Weekend / holiday,Light rain / snow,97,89,8,2,0.3,0.735
2011-01,19,Winter,Weekend / holiday,Mist / cloudy,132,112,20,2,0.27,0.54
2011-01,19,Winter,Working day,Clear,1586,1533,53,15,0.204,0.5133
2011-01,19,Winter,Working day,Light rain / snow,51,51,0,1,0.16,0.93
2011-01,19,Winter,Working day,Mist / cloudy,334,315,19,3,0.24,0.7333
2011-01,20,Winter,Weekend / holiday,Clear,268,250,18,7,0.1543,0.4614
2011-01,20,Winter,Weekend / holiday,Light rain / snow,33,29,4,1,0.16,0.8
2011-01,20,Winter,Weekend / holiday,Mist / cloudy,110,90,20,3,0.3267,0.6367
