record_index,actual_churn,risk_score,predicted_churn
5634,0,0.070203,0
5635,0,0.1964,0
5636,0,0.471259,1
5637,0,0.188259,0
5638,0,0.289815,0
5639,0,0.149042,0
5640,1,0.473602,1
5641,0,0.13616,0
5642,0,0.164768,0
5643,1,0.184582,0
5644,0,0.286888,0
5645,0,0.262199,0
5646,0,0.064056,0
5647,0,0.098641,0
5648,0,0.070744,0
5649,0,0.483658,1
5650,0,0.125421,0
5651,0,0.112026,0
5652,0,0.36924,1
5653,0,0.208768,0
5654,0,0.073608,0
5655,0,0.458505,1
5656,0,0.080158,0
5657,1,0.460397,1
5658,0,0.348848,0
5659,1,0.512806,1
5660,0,0.361978,1
5661,0,0.293377,0
5662,1,0.548736,1
5663,0,0.076297,0
5664,0,0.133709,0
5665,0,0.336329,0
5666,0,0.113533,0
5667,0,0.33294,0
5668,0,0.125047,0
5669,0,0.223502,0
5670,0,0.080859,0
5671,1,0.421732,1
5672,0,0.238512,0
5673,0,0.164437,0
5674,0,0.260715,0
5675,0,0.346647,0
5676,0,0.369753,1
5677,0,0.12907,0
5678,0,0.07251,0
5679,0,0.175926,0
5680,0,0.137994,0
5681,1,0.210007,0
5682,0,0.068376,0
5683,0,0.077191,0
5684,0,0.510392,1
5685,0,0.358701,1
5686,0,0.12838,0
5687,0,0.443943,1
5688,0,0.067422,0
5689,1,0.343991,0
5690,0,0.215318,0
5691,0,0.226185,0
5692,1,0.438313,1
5693,1,0.501548,1
5694,0,0.085513,0
5695,0,0.180891,0
5696,1,0.211091,0
5697,0,0.109483,0
5698,0,0.048547,0
5699,0,0.187661,0
5700,0,0.53853,1
5701,1,0.581381,1
5702,1,0.175622,0
5703,0,0.305184,0
5704,0,0.345435,0
5705,0,0.082282,0
5706,0,0.612125,1
5707,0,0.361083,1
5708,0,0.414201,1
5709,1,0.167425,0
5710,0,0.686733,1
5711,0,0.082493,0
5712,0,0.152997,0
5713,0,0.144065,0
5714,1,0.393025,1
5715,0,0.189292,0
5716,0,0.110113,0
5717,1,0.534368,1
5718,0,0.154929,0
5719,0,0.155851,0
5720,0,0.114741,0
5721,0,0.226374,0
5722,0,0.188259,0
5723,0,0.077771,0
5724,0,0.226564,0
5725,0,0.280798,0
5726,0,0.164188,0
5727,0,0.178936,0
5728,0,0.129309,0
5729,0,0.195329,0
5730,0,0.14543,0
5731,0,0.341026,0
5732,0,0.122641,0
5733,0,0.11643,0
5734,0,0.381091,1
5735,0,0.134572,0
5736,0,0.331618,0
5737,0,0.079378,0
5738,0,0.119198,0
5739,1,0.313228,0
5740,0,0.325374,0
5741,0,0.354459,1
5742,0,0.413122,1
5743,0,0.05756,0
5744,0,0.145107,0
5745,0,0.102786,0
5746,0,0.222258,0
5747,0,0.200605,0
5748,0,0.292778,0
5749,1,0.370704,1
5750,0,0.433082,1
5751,1,0.542347,1
5752,0,0.217977,0
5753,0,0.303882,0
5754,0,0.165645,0
5755,0,0.05454,0
5756,0,0.064974,0
5757,0,0.167009,0
5758,0,0.095289,0
5759,0,0.051299,0
5760,0,0.307079,0
5761,1,0.65876,1
5762,0,0.344979,0
5763,0,0.374342,1
5764,0,0.46433,1
5765,0,0.14515,0
5766,0,0.379874,1
5767,0,0.188343,0
5768,0,0.117558,0
5769,0,0.227125,0
5770,1,0.304825,0
5771,1,0.143239,0
5772,0,0.139585,0
5773,0,0.106717,0
5774,0,0.197018,0
5775,0,0.152196,0
5776,0,0.106376,0
5777,1,0.452097,1
5778,0,0.46396,1
5779,0,0.25323,0
5780,0,0.143307,0
5781,0,0.41015,1
5782,0,0.09393,0
5783,0,0.068062,0
5784,0,0.343992,0
5785,0,0.074831,0
5786,0,0.111073,0
5787,1,0.210553,0
5788,0,0.253794,0
5789,0,0.138831,0
5790,0,0.300666,0
5791,0,0.072508,0
5792,0,0.334392,0
5793,0,0.350561,1
5794,0,0.321255,0
5795,1,0.480672,1
5796,0,0.203932,0
5797,0,0.051777,0
5798,0,0.206409,0
5799,0,0.254384,0
5800,0,0.097427,0
5801,1,0.165963,0
5802,1,0.611869,1
5803,1,0.186204,0
5804,0,0.364512,1
5805,0,0.462098,1
5806,0,0.096289,0
5807,0,0.075985,0
5808,1,0.374835,1
5809,0,0.139793,0
5810,0,0.180061,0
5811,0,0.095331,0
5812,0,0.186787,0
5813,0,0.123675,0
5814,0,0.144455,0
5815,1,0.151272,0
5816,0,0.468293,1
5817,1,0.49824,1
5818,0,0.403806,1
5819,0,0.124156,0
5820,0,0.316254,0
5821,0,0.060812,0
5822,0,0.074631,0
5823,0,0.180093,0
5824,1,0.394762,1
5825,0,0.349269,0
5826,0,0.156701,0
5827,0,0.102139,0
5828,0,0.55813,1
5829,0,0.174637,0
5830,0,0.247704,0
5831,0,0.054501,0
5832,0,0.270418,0
5833,0,0.316296,0
5834,1,0.377497,1
5835,0,0.131199,0
5836,0,0.335168,0
5837,0,0.343548,0
5838,0,0.229663,0
5839,1,0.547436,1
5840,1,0.499696,1
5841,0,0.240695,0
5842,0,0.291995,0
5843,0,0.253628,0
5844,1,0.408536,1
5845,1,0.53962,1
5846,1,0.336781,0
5847,1,0.532428,1
5848,0,0.10661,0
5849,0,0.108995,0
5850,0,0.073734,0
5851,0,0.370913,1
5852,1,0.59399,1
5853,1,0.544679,1
5854,1,0.183807,0
5855,0,0.403685,1
5856,0,0.109747,0
5857,0,0.148599,0
5858,0,0.26599,0
5859,0,0.079934,0
5860,0,0.298798,0
5861,0,0.23985,0
5862,0,0.201829,0
5863,0,0.054683,0
5864,1,0.546797,1
5865,0,0.321897,0
5866,0,0.118507,0
5867,0,0.122983,0
5868,0,0.353982,1
5869,1,0.387955,1
5870,1,0.318764,0
5871,0,0.454808,1
5872,1,0.525416,1
5873,0,0.058035,0
5874,0,0.199164,0
5875,0,0.085379,0
5876,0,0.408073,1
5877,0,0.14724,0
5878,0,0.241029,0
5879,0,0.180626,0
5880,0,0.355263,1
5881,0,0.112824,0
5882,0,0.570078,1
5883,0,0.109621,0
5884,0,0.185337,0
5885,1,0.436802,1
5886,1,0.070224,0
5887,1,0.36273,1
5888,1,0.647018,1
5889,0,0.443945,1
5890,0,0.282691,0
5891,0,0.180339,0
5892,0,0.222826,0
5893,0,0.244208,0
5894,0,0.23845,0
5895,0,0.07446,0
5896,1,0.533466,1
5897,0,0.224022,0
5898,0,0.157629,0
5899,0,0.195395,0
5900,0,0.219855,0
5901,0,0.485728,1
5902,0,0.111717,0
5903,0,0.071278,0
5904,0,0.463295,1
5905,0,0.050116,0
5906,0,0.411867,1
5907,0,0.213416,0
5908,1,0.406361,1
5909,0,0.172745,0
5910,1,0.448906,1
5911,1,0.131618,0
5912,1,0.297592,0
5913,1,0.482478,1
5914,0,0.271281,0
5915,0,0.353889,1
5916,0,0.069896,0
5917,0,0.139247,0
5918,0,0.569297,1
5919,0,0.098733,0
5920,0,0.095106,0
5921,0,0.136158,0
5922,0,0.461085,1
5923,0,0.379459,1
5924,0,0.467389,1
5925,0,0.608063,1
5926,0,0.334946,0
5927,1,0.470119,1
5928,1,0.609978,1
5929,0,0.277557,0
5930,0,0.205895,0
5931,0,0.11141,0
5932,0,0.058496,0
5933,0,0.329168,0
5934,0,0.171774,0
5935,0,0.086316,0
5936,0,0.433774,1
5937,0,0.109329,0
5938,0,0.420613,1
5939,0,0.327068,0
5940,0,0.233475,0
5941,0,0.240203,0
5942,1,0.320995,0
5943,0,0.302698,0
5944,0,0.085602,0
5945,0,0.662088,1
5946,0,0.185044,0
5947,0,0.106088,0
5948,0,0.117605,0
5949,0,0.180409,0
5950,0,0.255696,0
5951,0,0.053966,0
5952,0,0.199522,0
5953,0,0.460402,1
5954,0,0.367073,1
5955,1,0.170325,0
5956,0,0.135772,0
5957,0,0.23259,0
5958,0,0.421485,1
5959,0,0.710705,1
5960,0,0.121403,0
5961,0,0.470736,1
5962,0,0.153644,0
5963,0,0.222455,0
5964,1,0.529865,1
5965,0,0.127253,0
5966,0,0.32073,0
5967,0,0.514994,1
5968,0,0.157234,0
5969,1,0.649999,1
5970,0,0.204064,0
5971,0,0.093914,0
5972,1,0.404779,1
5973,0,0.100202,0
5974,1,0.496262,1
5975,0,0.191951,0
5976,0,0.17021,0
5977,0,0.371887,1
5978,0,0.057019,0
5979,0,0.11891,0
5980,0,0.163923,0
5981,0,0.362311,1
5982,0,0.266241,0
5983,1,0.344465,0
5984,1,0.60091,1
5985,0,0.061428,0
5986,0,0.095426,0
5987,0,0.271101,0
5988,0,0.170417,0
5989,0,0.299125,0
5990,0,0.183775,0
5991,0,0.42184,1
5992,1,0.589814,1
5993,1,0.212171,0
5994,1,0.411087,1
5995,0,0.314387,0
5996,1,0.108778,0
5997,0,0.080094,0
5998,0,0.316106,0
5999,0,0.337412,0
6000,0,0.281361,0
6001,0,0.230526,0
6002,0,0.128369,0
6003,0,0.130371,0
6004,0,0.110991,0
6005,0,0.171273,0
6006,0,0.554628,1
6007,0,0.279258,0
6008,0,0.052946,0
6009,0,0.217839,0
6010,0,0.191356,0
6011,0,0.070418,0
6012,0,0.149166,0
6013,1,0.387714,1
6014,0,0.231088,0
6015,1,0.551771,1
6016,0,0.210726,0
6017,0,0.301576,0
6018,0,0.186641,0
6019,1,0.384372,1
6020,1,0.186676,0
6021,0,0.14901,0
6022,1,0.295036,0
6023,0,0.161107,0
6024,1,0.282055,0
6025,0,0.155701,0
6026,1,0.504661,1
6027,0,0.195757,0
6028,0,0.087842,0
6029,0,0.107665,0
6030,0,0.094423,0
6031,0,0.430183,1
6032,0,0.439618,1
6033,0,0.081202,0
6034,0,0.298619,0
6035,0,0.316245,0
6036,0,0.143892,0
6037,0,0.319696,0
6038,0,0.064883,0
6039,0,0.368114,1
6040,0,0.10629,0
6041,0,0.26562,0
6042,0,0.157024,0
6043,0,0.393316,1
6044,0,0.511823,1
6045,1,0.454505,1
6046,0,0.107338,0
6047,1,0.559366,1
6048,0,0.224308,0
6049,0,0.498669,1
6050,1,0.578024,1
6051,0,0.405454,1
6052,0,0.165733,0
6053,0,0.26611,0
6054,1,0.299643,0
6055,1,0.186641,0
6056,0,0.125592,0
6057,0,0.229134,0
6058,0,0.334857,0
6059,0,0.327475,0
6060,0,0.583593,1
6061,0,0.270656,0
6062,0,0.180618,0
6063,0,0.477397,1
6064,0,0.376412,1
6065,0,0.242687,0
6066,1,0.555929,1
6067,0,0.148915,0
6068,1,0.632807,1
6069,0,0.350483,1
6070,0,0.236075,0
6071,0,0.066632,0
6072,1,0.478958,1
6073,1,0.533908,1
6074,0,0.163691,0
6075,1,0.444143,1
6076,0,0.19291,0
6077,0,0.562938,1
6078,0,0.050325,0
6079,0,0.320954,0
6080,1,0.550927,1
6081,1,0.373412,1
6082,1,0.615582,1
6083,0,0.126344,0
6084,1,0.541504,1
6085,0,0.145228,0
6086,0,0.084832,0
6087,0,0.247321,0
6088,0,0.232598,0
6089,1,0.429782,1
6090,0,0.399796,1
6091,0,0.18056,0
6092,0,0.093342,0
6093,0,0.541979,1
6094,0,0.063856,0
6095,0,0.288278,0
6096,1,0.545282,1
6097,0,0.278469,0
6098,0,0.10497,0
6099,1,0.397694,1
6100,0,0.153247,0
6101,1,0.544564,1
6102,1,0.3915,1
6103,0,0.148462,0
6104,1,0.447813,1
6105,0,0.333116,0
6106,0,0.387037,1
6107,1,0.314409,0
6108,0,0.179125,0
6109,1,0.511536,1
6110,0,0.082621,0
6111,1,0.429299,1
6112,0,0.110602,0
6113,0,0.21543,0
6114,0,0.341317,0
6115,0,0.106035,0
6116,0,0.395222,1
6117,0,0.308693,0
6118,0,0.154395,0
6119,0,0.381031,1
6120,0,0.317692,0
6121,0,0.251011,0
6122,0,0.160106,0
6123,0,0.358227,1
6124,0,0.25341,0
6125,0,0.189097,0
6126,0,0.11055,0
6127,0,0.402775,1
6128,0,0.158337,0
6129,0,0.431845,1
6130,0,0.106455,0
6131,0,0.319412,0
6132,0,0.137384,0
6133,0,0.123807,0
6134,0,0.084874,0
6135,0,0.119243,0
6136,0,0.197588,0
6137,1,0.379425,1
6138,1,0.580602,1
6139,0,0.174166,0
6140,1,0.518031,1
6141,0,0.129537,0
6142,0,0.141869,0
6143,1,0.59403,1
6144,1,0.489328,1
6145,0,0.210125,0
6146,0,0.287014,0
6147,0,0.17672,0
6148,1,0.666204,1
6149,0,0.51073,1
6150,0,0.539834,1
6151,0,0.325768,0
6152,0,0.53999,1
6153,0,0.18481,0
6154,0,0.130575,0
6155,0,0.106579,0
6156,1,0.655817,1
6157,1,0.313362,0
6158,0,0.073648,0
6159,0,0.379574,1
6160,0,0.062794,0
6161,0,0.318715,0
6162,0,0.067451,0
6163,0,0.111747,0
6164,1,0.679229,1
6165,0,0.181682,0
6166,0,0.24614,0
6167,0,0.533253,1
6168,0,0.209182,0
6169,0,0.300266,0
6170,1,0.265296,0
6171,1,0.44632,1
6172,0,0.317585,0
6173,0,0.222517,0
6174,0,0.180109,0
6175,0,0.30314,0
6176,0,0.428189,1
6177,1,0.431206,1
6178,1,0.357993,1
6179,0,0.178439,0
6180,0,0.597485,1
6181,1,0.425904,1
6182,0,0.233244,0
6183,0,0.328915,0
6184,1,0.570466,1
6185,1,0.376971,1
6186,0,0.173624,0
6187,0,0.118828,0
6188,0,0.177202,0
6189,0,0.308085,0
6190,0,0.069991,0
6191,1,0.144724,0
6192,0,0.082344,0
6193,0,0.0908,0
6194,1,0.546938,1
6195,0,0.183689,0
6196,1,0.444707,1
6197,0,0.077107,0
6198,1,0.612723,1
6199,1,0.498045,1
6200,0,0.424113,1
6201,1,0.531212,1
6202,0,0.444845,1
6203,0,0.058217,0
6204,0,0.189807,0
6205,0,0.107792,0
6206,0,0.56396,1
6207,0,0.402245,1
6208,0,0.320718,0
6209,0,0.149053,0
6210,1,0.463481,1
6211,0,0.527144,1
6212,0,0.299713,0
6213,0,0.440054,1
6214,0,0.069699,0
6215,0,0.209167,0
6216,0,0.21046,0
6217,0,0.076163,0
6218,0,0.06687,0
6219,0,0.2141,0
6220,0,0.203499,0
6221,0,0.097496,0
6222,0,0.085081,0
6223,0,0.194475,0
6224,1,0.527795,1
6225,0,0.061473,0
6226,0,0.185388,0
6227,0,0.125752,0
6228,0,0.133216,0
6229,0,0.129251,0
6230,0,0.324543,0
6231,0,0.358373,1
6232,0,0.562171,1
6233,1,0.437012,1
6234,0,0.079326,0
6235,0,0.205832,0
6236,1,0.527282,1
6237,0,0.178949,0
6238,0,0.13225,0
6239,0,0.26674,0
6240,1,0.584722,1
6241,0,0.367094,1
6242,1,0.577353,1
6243,0,0.073448,0
6244,0,0.269377,0
6245,0,0.324392,0
6246,0,0.055845,0
6247,0,0.440902,1
6248,1,0.555194,1
6249,0,0.18675,0
6250,0,0.181843,0
6251,0,0.511224,1
6252,1,0.569717,1
6253,1,0.51077,1
6254,0,0.499769,1
6255,0,0.251947,0
6256,0,0.10529,0
6257,0,0.165474,0
6258,0,0.101078,0
6259,1,0.673366,1
6260,0,0.084813,0
6261,1,0.206662,0
6262,0,0.516744,1
6263,0,0.097218,0
6264,0,0.172553,0
6265,0,0.106396,0
6266,0,0.084884,0
6267,1,0.293975,0
6268,1,0.51782,1
6269,1,0.470864,1
6270,0,0.226013,0
6271,0,0.158486,0
6272,0,0.364343,1
6273,0,0.298991,0
6274,0,0.093704,0
6275,0,0.431055,1
6276,0,0.349783,0
6277,1,0.163155,0
6278,0,0.213832,0
6279,0,0.110501,0
6280,0,0.166781,0
6281,1,0.520162,1
6282,0,0.312258,0
6283,0,0.10568,0
6284,0,0.185421,0
6285,0,0.141284,0
6286,0,0.103891,0
6287,0,0.071189,0
6288,0,0.153973,0
6289,0,0.137477,0
6290,0,0.195736,0
6291,0,0.093419,0
6292,1,0.525462,1
6293,1,0.20254,0
6294,0,0.224307,0
6295,0,0.325431,0
6296,0,0.214804,0
6297,0,0.222055,0
6298,1,0.443593,1
6299,1,0.442889,1
6300,1,0.477191,1
6301,0,0.3473,0
6302,0,0.308101,0
6303,0,0.147806,0
6304,0,0.149523,0
6305,1,0.607051,1
6306,0,0.210705,0
6307,1,0.395677,1
6308,0,0.349155,0
6309,0,0.334144,0
6310,1,0.608451,1
6311,0,0.494025,1
6312,0,0.098258,0
6313,0,0.303326,0
6314,0,0.522218,1
6315,0,0.063318,0
6316,0,0.100711,0
6317,0,0.241448,0
6318,0,0.437812,1
6319,1,0.511663,1
6320,1,0.522154,1
6321,0,0.102704,0
6322,0,0.049729,0
6323,1,0.557297,1
6324,1,0.166591,0
6325,1,0.697483,1
6326,0,0.152719,0
6327,0,0.358885,1
6328,0,0.047523,0
6329,0,0.051228,0
6330,0,0.250902,0
6331,0,0.083913,0
6332,0,0.155672,0
6333,0,0.37702,1
6334,0,0.175268,0
6335,1,0.578039,1
6336,0,0.57155,1
6337,0,0.065523,0
6338,0,0.145718,0
6339,0,0.125827,0
6340,0,0.137314,0
6341,0,0.172728,0
6342,0,0.096394,0
6343,1,0.677483,1
6344,0,0.208066,0
6345,0,0.491023,1
6346,0,0.12003,0
6347,0,0.205098,0
6348,0,0.361027,1
6349,1,0.271559,0
6350,0,0.547583,1
6351,1,0.684759,1
6352,0,0.397841,1
6353,0,0.181477,0
6354,1,0.571376,1
6355,1,0.608519,1
6356,1,0.467455,1
6357,1,0.395369,1
6358,0,0.340543,0
6359,1,0.503664,1
6360,0,0.519668,1
6361,1,0.229931,0
6362,1,0.315129,0
6363,0,0.106082,0
6364,0,0.57606,1
6365,0,0.177524,0
6366,1,0.246958,0
6367,0,0.202492,0
6368,0,0.067236,0
6369,0,0.137196,0
6370,0,0.151915,0
6371,0,0.115756,0
6372,0,0.117512,0
6373,0,0.2846,0
6374,0,0.377243,1
6375,1,0.489693,1
6376,0,0.309472,0
6377,0,0.229451,0
6378,0,0.105845,0
6379,0,0.489035,1
6380,0,0.065227,0
6381,0,0.43539,1
6382,1,0.689885,1
6383,0,0.552369,1
6384,0,0.136788,0
6385,1,0.471677,1
6386,0,0.167176,0
6387,1,0.543333,1
6388,0,0.188387,0
6389,1,0.55204,1
6390,0,0.075183,0
6391,1,0.336512,0
6392,0,0.507195,1
6393,0,0.08011,0
6394,0,0.217337,0
6395,0,0.413175,1
6396,0,0.066551,0
6397,1,0.549301,1
6398,0,0.079108,0
6399,1,0.372897,1
6400,0,0.052655,0
6401,0,0.148892,0
6402,1,0.174648,0
6403,0,0.128333,0
6404,1,0.457482,1
6405,0,0.611281,1
6406,0,0.102894,0
6407,0,0.148693,0
6408,1,0.362614,1
6409,1,0.247704,0
6410,1,0.471653,1
6411,0,0.133443,0
6412,0,0.104882,0
6413,0,0.377566,1
6414,0,0.515146,1
6415,0,0.055161,0
6416,0,0.26031,0
6417,0,0.392707,1
6418,0,0.179667,0
6419,0,0.176936,0
6420,0,0.444431,1
6421,1,0.52127,1
6422,0,0.674964,1
6423,1,0.540993,1
6424,0,0.32158,0
6425,0,0.109251,0
6426,0,0.186134,0
6427,1,0.32993,0
6428,0,0.120584,0
6429,1,0.587822,1
6430,0,0.06806,0
6431,0,0.077154,0
6432,0,0.191477,0
6433,1,0.59237,1
6434,0,0.253713,0
6435,0,0.109325,0
6436,0,0.144965,0
6437,1,0.079769,0
6438,1,0.199908,0
6439,0,0.160014,0
6440,0,0.066989,0
6441,0,0.105398,0
6442,1,0.670588,1
6443,0,0.272712,0
6444,0,0.141176,0
6445,0,0.137324,0
6446,0,0.314342,0
6447,0,0.446947,1
6448,1,0.208801,0
6449,1,0.302609,0
6450,0,0.547703,1
6451,1,0.232349,0
6452,0,0.094131,0
6453,1,0.442779,1
6454,0,0.347053,0
6455,1,0.558981,1
6456,0,0.101265,0
6457,0,0.459867,1
6458,0,0.080858,0
6459,0,0.306696,0
6460,0,0.214801,0
6461,0,0.352378,1
6462,0,0.110115,0
6463,1,0.31686,0
6464,1,0.601232,1
6465,0,0.104617,0
6466,0,0.099863,0
6467,0,0.271332,0
6468,0,0.634471,1
6469,0,0.122699,0
6470,0,0.208482,0
6471,0,0.088136,0
6472,0,0.499742,1
6473,0,0.229801,0
6474,0,0.179048,0
6475,0,0.344633,0
6476,0,0.399816,1
6477,0,0.104741,0
6478,0,0.35755,1
6479,0,0.582428,1
6480,0,0.474006,1
6481,0,0.138736,0
6482,0,0.419261,1
6483,0,0.41787,1
6484,1,0.45156,1
6485,1,0.288993,0
6486,0,0.149232,0
6487,0,0.482078,1
6488,0,0.138034,0
6489,0,0.177284,0
6490,0,0.103078,0
6491,0,0.264197,0
6492,0,0.307156,0
6493,0,0.140048,0
6494,0,0.367187,1
6495,0,0.063089,0
6496,0,0.122347,0
6497,1,0.418328,1
6498,0,0.141843,0
6499,1,0.133358,0
6500,0,0.114716,0
6501,0,0.211991,0
6502,0,0.308251,0
