segment,value,customers,churned,churnRate,monthlyCharges,churnedMonthlyCharges,totalCharges,averageTenure
Contract,Month-to-month,3875,1655,0.4271,257294.15,120847.1,5305861.5,18.0
Contract,One year,1473,166,0.1127,95816.6,14118.45,4467053.5,42.0
Contract,Two year,1695,48,0.02832,103005.85,4165.3,6283253.7,56.7
InternetService,DSL,2421,459,0.18959,140665.35,22529.2,5121410.85,32.8
InternetService,Fiber optic,3096,1297,0.41893,283284.4,114300.05,9923622.95,32.9
InternetService,No,1526,113,0.07405,32166.85,2301.6,1011134.9,30.5
PaymentMethod,Bank transfer (automatic),1544,258,0.1671,103745.45,20091.9,4748279.9,43.7
PaymentMethod,Credit card (automatic),1522,232,0.15243,101231.85,17946.6,4671593.35,43.3
PaymentMethod,Electronic check,2365,1071,0.45285,180345.0,84288.75,4944903.25,25.2
PaymentMethod,Mailed check,1612,308,0.19107,70794.3,16803.6,1691392.2,21.8
monthly_charge_band,$40–79,2529,746,0.29498,158830.9,48118.3,4197570.8,26.2
monthly_charge_band,$80+,2677,910,0.33993,255280.85,85669.35,10642073.05,40.8
monthly_charge_band,Under $40,1837,213,0.11595,42004.85,5343.2,1216524.85,28.7
service_depth_band,High depth (6+),2187,444,0.20302,202705.85,43992.85,10227478.9,50.1
service_depth_band,Low depth (0–2),2123,404,0.1903,61697.95,17540.0,1282042.8,24.7
service_depth_band,Medium depth (3–5),2733,1021,0.37358,191712.8,77598.0,4546647.0,24.2
tenure_band,0–6 months,1481,784,0.52937,81067.95,49896.1,211146.9,2.5
tenure_band,13–24 months,1024,294,0.28711,62829.85,23081.65,1153287.7,18.4
tenure_band,25–48 months,1594,325,0.20389,105093.3,27462.5,3810380.35,36.2
tenure_band,49+ months,2239,213,0.09513,165563.7,19632.45,10490848.75,63.0
tenure_band,7–12 months,705,253,0.35887,41561.8,19058.15,390505.0,9.4
