customerId,contract,tenure,monthlyCharges,serviceDepth,riskScore,action
2545-EBUPK,Month-to-month,2,84.05,4,0.7107,Early-tenure onboarding
4988-IQIGL,Month-to-month,1,75.35,3,0.6975,Early-tenure onboarding
4826-XTSOH,Month-to-month,1,86.05,4,0.6899,Early-tenure onboarding
1197-BVMVG,Month-to-month,4,74.45,3,0.6867,Early-tenure onboarding
1273-MTETI,Month-to-month,4,88.85,5,0.6848,Early-tenure onboarding
9231-ZJYAM,Month-to-month,4,78.85,3,0.6792,Early-tenure onboarding
8644-XLFBW,Month-to-month,1,71.65,2,0.6775,Early-tenure onboarding
9603-OAIHC,Month-to-month,1,70.05,2,0.675,Early-tenure onboarding
4342-HENTK,Month-to-month,2,70.65,2,0.6749,Early-tenure onboarding
5276-KQWHG,Month-to-month,2,69.6,2,0.6734,Early-tenure onboarding
