level,month,market,product_group,revenue,orders,customers,units,lines,cancelled_orders,cancelled_value
market,2010-12,APAC,,8943.66,7,5,4614,98,2,255.19
market,2010-12,Europe,,56500.24,88,62,34695,1785,22,2004.26
market,2010-12,Other,,10033.26,17,3,5770,373,6,1003.31
market,2010-12,UK,,748268.98,1447,815,314160,39224,445,71526.36
market,2011-01,APAC,,15584.26,13,9,8342,299,2,315.54
market,2011-01,Europe,,92586.13,95,83,54932,2670,30,3819.41
market,2011-01,Other,,21904.19,7,2,8794,173,2,247.67
market,2011-01,UK,,561289.98,971,647,315717,31164,361,126981.68
market,2011-02,APAC,,22290.49,10,9,12541,229,1,67.95
market,2011-02,Europe,,59064.71,82,69,34741,1594,26,1146.65
market,2011-02,Other,,12248.74,13,2,6004,432,2,2574.6
market,2011-02,UK,,430027.95,995,679,230269,24850,266,21780.04
market,2011-03,APAC,,19856.65,7,6,10461,125,7,2889.77
market,2011-03,Americas,,140.54,1,1,88,10,0,0.0
market,2011-03,Europe,,89214.38,115,84,52405,2498,23,1545.34
market,2011-03,Other,,22197.51,23,3,9580,558,5,3414.28
market,2011-03,UK,,586230.28,1308,880,304992,32612,499,26522.89
market,2011-04,APAC,,17179.32,9,5,10434,159,6,8205.71
market,2011-04,Americas,,1527.55,2,2,493,54,0,0.0
market,2011-04,Europe,,34522.99,69,61,17158,1269,24,2132.07
market,2011-04,Other,,8061.0,13,4,4451,333,0,0.0
market,2011-04,UK,,476517.76,1153,784,276279,27281,471,34263.72
market,2011-05,APAC,,17504.42,8,5,11264,238,2,9.9
market,2011-05,Americas,,534.24,1,1,504,1,0,0.0
market,2011-05,Europe,,94118.37,125,84,53366,2400,25,4250.7
market,2011-05,Other,,19064.63,24,4,8831,667,5,87.41
market,2011-05,UK,,639314.36,1523,962,321773,32858,453,42854.5
market,2011-06,APAC,,27428.77,6,3,18774,191,1,23.0
market,2011-06,Americas,,1171.46,1,1,1092,57,0,0.0
market,2011-06,Europe,,88147.56,112,94,51133,2688,22,749.6
market,2011-06,Other,,25481.44,31,4,13113,653,9,4811.86
market,2011-06,UK,,619510.67,1383,889,305101,32388,448,65032.32
market,2011-07,APAC,,14198.85,11,7,10439,300,2,196.81
market,2011-07,Americas,,1768.58,2,1,1027,78,0,0.0
market,2011-07,Europe,,56366.86,93,76,32384,2107,20,1160.07
market,2011-07,Other,,44892.06,32,6,23499,958,5,49.2
market,2011-07,UK,,601994.84,1337,859,334410,35202,428,36515.0
market,2011-08,APAC,,30176.96,5,3,16334,327,1,49.79
market,2011-08,Americas,,51.56,1,1,52,5,0,0.0
market,2011-08,Europe,,101977.6,124,93,62364,3005,30,1294.82
market,2011-08,Other,,18884.78,21,4,10262,675,10,6196.28
market,2011-08,UK,,608047.48,1210,834,332758,30471,338,68916.98
market,2011-09,APAC,,9309.53,13,8,4943,172,2,2728.95
market,2011-09,Europe,,108830.77,140,110,63493,3175,30,667.78
market,2011-09,Other,,43373.4,39,2,23344,1247,13,447.5
market,2011-09,UK,,897076.47,1645,1146,479040,44667,447,35058.32
market,2011-10,APAC,,27038.44,12,6,9607,232,2,6079.01
market,2011-10,Americas,,2311.2,2,2,1717,125,1,1579.51
market,2011-10,Europe,,161334.42,183,124,90189,4682,38,14068.99
market,2011-10,Other,,25320.23,32,3,16255,928,7,1010.3
market,2011-10,UK,,938975.01,1811,1230,505633,53337,552,61536.82
